Album Name,Artists,Release Date,Popularity,Image URL
Transformations,"Manos Hadjidakis, K. BHTA",2003-01-01,9,https://i.scdn.co/image/ab67616d0000b2735fb1ea7074cd8c9bdb7bb446
Thursday Afternoon,Panagiotis Kalantzopoulos,2004-01-01,2,https://i.scdn.co/image/ab67616d0000b27375c5527c5ef77fe86aed7b6f
Gia Pada Mazi,Giannis Parios,2009-03-04,13,https://i.scdn.co/image/ab67616d0000b2736ac88c56c41cc07bc6eed25c
Lágrimas Negras,"Bebo Valdés, Diego El Cigala",2014-04-25,46,https://i.scdn.co/image/ab67616d0000b27361cbfc5663516f4716b679e3
Summertime in Prague,"Panagiotis Kalantzopoulos, Elli Paspala",2008-05-11,17,https://i.scdn.co/image/ab67616d0000b273642c13234c80eb0ab5e9cbc6
Up and Away,"Σtella, Redinho",2022-06-17,63,https://i.scdn.co/image/ab67616d0000b2735fde798f6842d0ccc57c4bba
Ciudad De Las Ideas,Vicente Amigo,2000-09-21,37,https://i.scdn.co/image/ab67616d0000b273255548f067878d83dff68f8e
Paramythia,Sokratis Malamas,2009-02-27,24,https://i.scdn.co/image/ab67616d0000b2736825e956e63f00b3486e947a
"O,Ti Aneveni Kateveni (Remastered)",Giorgos Marinos,1985-03-13,1,https://i.scdn.co/image/ab67616d0000b2730cc6c1ca334cce12df701125
Ultraviolence (Deluxe),Lana Del Rey,2014-01-01,80,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f
To Kati,Katy Garbi,2000,36,https://i.scdn.co/image/ab67616d0000b27342b129aee298de760d671586
Assume Form,James Blake,2019-01-18,39,https://i.scdn.co/image/ab67616d0000b273534dc6aebb7cf3c04e410cc6
Me Stoma Pou Gela,"Thanasis Papakonstantinou, Sokratis Malamas",2018-02-15,27,https://i.scdn.co/image/ab67616d0000b2737ac6593e76a28eaa3ce03a3c
Halia,Fivos Delivorias,1998-07-06,31,https://i.scdn.co/image/ab67616d0000b27323b1a7a9b33a560bec627f0c
To Kourema,Dionysis Savvopoulos,1989,9,https://i.scdn.co/image/ab67616d0000b2739adbea0402748613a158c742
Me ta Matia Kleista,"Panagiotis Kalantzopoulos, Giota Negka",2003-10-03,9,https://i.scdn.co/image/ab67616d0000b2736ba7b14585320fd4b128cbc4
Romancero Gitano Tou F. G. Lorca (Kai Tessera Alla Tragoudia),Arleta,2007-10-08,13,https://i.scdn.co/image/ab67616d0000b2739374d56c00da153f434e67e2
Volume 2 (Mandolin Orchestra City of Milan),"Orchestra a plettro Citta' di Milano, Mandolin Orchestra City of Milan",2003,0,https://i.scdn.co/image/ab67616d0000b273e9138315b87932eb04a1062b
The Exciting Sounds of Menahan Street Band,Menahan Street Band,2021-02-26,57,https://i.scdn.co/image/ab67616d0000b273023f867f681febb140fdcc21
More (Original Film Sountrack) [2011 - Remaster] [2011 Remastered Version],Pink Floyd,1969-06-13,19,https://i.scdn.co/image/ab67616d0000b2737278b9a8326c2fd8b8909a2e
Purple Rain,Prince,1984-06-25,11,https://i.scdn.co/image/ab67616d0000b273d52bfb90ee8dfeda8378b99b
Hapopsis,Yiotis Kiourtsoglou,2022-12-09,1,https://i.scdn.co/image/ab67616d0000b273648fc543d0c9f587e3a52ec6
A Greek in Dixieland,Gus Vali and His Orchestra,2015-03-20,0,https://i.scdn.co/image/ab67616d0000b2733e436298ffc8cf9955d57b28
Goin' Back To New Orleans,Dr. John,1992-06-12,27,https://i.scdn.co/image/ab67616d0000b273ab4db1bbe4ba05ad179fa764
Per incantamento,Ghetonia,1998-01-01,7,https://i.scdn.co/image/ab67616d0000b27398d6ee5732d0ef1671802f0f
Naxatras,Naxatras,2015-04-26,33,https://i.scdn.co/image/ab67616d0000b273037fb18ebb0315b5721cf3fe
The President,MonoNeon,2024-01-02,2,https://i.scdn.co/image/ab67616d0000b273c26c3cff27a43e710ea157f7
DROMOS,DROMOS bouzouki band,2004-08-31,11,https://i.scdn.co/image/ab67616d0000b273e9460db7ea0623075cd2b858
Λίγα Σπίτια Στο Λιμάνι,Νίκος Οικονομίδης,2014-01-01,24,https://i.scdn.co/image/ab67616d0000b273ff0cd5b07d6c9a0964ec659a
Premier degré,Johan Papaconstantino,2023-03-03,32,https://i.scdn.co/image/ab67616d0000b2739a30c503247be780fcfa3ecb
Mahal,Glass Beams,2024-03-22,49,https://i.scdn.co/image/ab67616d0000b273d4c3b01f1977fcc76cf89474
Fragments,Bonobo,2022-01-14,54,https://i.scdn.co/image/ab67616d0000b273226e702d1878d4a44b273980
Rome,"Danger Mouse, Daniele Luppi",2011-05-16,44,https://i.scdn.co/image/ab67616d0000b273574860379dd3dd615ec3bb7b
Circles,Mac Miller,2020-01-17,71,https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c
Small Changes,Michael Kiwanuka,2024-11-22,59,https://i.scdn.co/image/ab67616d0000b2738828d629678a9d9d15d22d5b
Manouche De Grec,Gadjo Dilo,2013-08-07,25,https://i.scdn.co/image/ab67616d0000b2736e2ff736175925c15674657b
13.000 Meres,Sokratis Malamas,2007-09-10,15,https://i.scdn.co/image/ab67616d0000b273f7de872759b1c6257d654dbf
Sokratis Malamas,Sokratis Malamas,2008-05-14,39,https://i.scdn.co/image/ab67616d0000b27390eb7df0630b8a8276c1cda6
To Adio Domatio - Afigisi II,Sokratis Malamas,2014-01-01,7,https://i.scdn.co/image/ab67616d0000b273035b48bc98d6b7f8ca3a6c27
From Zero,Linkin Park,2024-11-15,81,https://i.scdn.co/image/ab67616d0000b273b11a5489e8cb11dd22b930a0
Ohio Players (Trophy Edition),The Black Keys,2024-11-15,49,https://i.scdn.co/image/ab67616d0000b27312abe7ebafbed04dac15ebe5
O Pyrinas (Live),Dionysis Savvopoulos,2007-01-01,8,https://i.scdn.co/image/ab67616d0000b2738ea3c5fc1e239ae01831debe
Moon Safari,Air,1998-01-16,61,https://i.scdn.co/image/ab67616d0000b2731216e4f7e84af70ef18146ed
Changes (The Instrumentals),"Charles Bradley, Menahan Street Band",2017-05-26,30,https://i.scdn.co/image/ab67616d0000b273cdf30b6bd4913f4fc01dd21b
Indian Ocean,Frazey Ford,2014-10-14,58,https://i.scdn.co/image/ab67616d0000b2733ddd4bb596b436920330a048
The Meltdown,The Meltdown,2017-04-07,56,https://i.scdn.co/image/ab67616d0000b273ce788fda3373dd9b9974224d
Lowdown,Michael Kiwanuka,2024-09-12,32,https://i.scdn.co/image/ab67616d0000b273f56205cf7b5f47de7f01df7c
Facce,Rosapaeda,1998-10-22,1,https://i.scdn.co/image/ab67616d0000b273883973cf85bb32043dd7d7a4
Antologia,Nuova Compagnia Di Canto Popolare,1999-01-01,25,https://i.scdn.co/image/ab67616d0000b273745e1577f8e704121b45c0f4
Shadows,Floating Points,2011-11-21,29,https://i.scdn.co/image/ab67616d0000b27379b8d29aef430e2a00ce8b63
Liquid Spirit,Gregory Porter,2014-11-01,40,https://i.scdn.co/image/ab67616d0000b2731a5b559ef8a73cf7d08c8593
Brave Faces Everyone,Spanish Love Songs,2020-02-07,38,https://i.scdn.co/image/ab67616d0000b273b649f5aac1135562aa25fc49
How You Sell Soul to a Soulless People Who Sold Their Soul?,Public Enemy,2007-08-07,50,https://i.scdn.co/image/ab67616d0000b2732acb820332d5f37cd536cc98
It Takes A Thief: The Very Best Of Thievery Corporation,Thievery Corporation,2010-09-21,30,https://i.scdn.co/image/ab67616d0000b273df75125e64cf690b8c687923
Bando Stone and The New World,Childish Gambino,2024-07-19,62,https://i.scdn.co/image/ab67616d0000b27305c9a49574cc249f1c5405ab
Rags To Rufus,Rufus & Chaka Khan,1974-01-01,42,https://i.scdn.co/image/ab67616d0000b27342291128b404448866c8a557
...Nothing Like The Sun,Sting,1987-10-16,63,https://i.scdn.co/image/ab67616d0000b273d0c7c131a979c9e5436f89ce
From The Mind Of,Pat Bedeau,2019-05-10,1,https://i.scdn.co/image/ab67616d0000b2736b9b494f51ffac59a0d98875
What Kinda Music,"Tom Misch, Yussef Dayes",2020-04-24,55,https://i.scdn.co/image/ab67616d0000b273bd93bbf0c3df5e0242b84831
A Sky Without Stars,ELIZA,2022-09-16,50,https://i.scdn.co/image/ab67616d0000b273c50440b59d005da681b8cfc6
Unknown Pleasures,Joy Division,1979-06-15,46,https://i.scdn.co/image/ab67616d0000b27327cc8b0ed297111f53009772
Black Classical Music,Yussef Dayes,2023-09-08,52,https://i.scdn.co/image/ab67616d0000b2738d4db6f2356f933e0321633f
Gentleman,Fela Kuti,1973-01-01,31,https://i.scdn.co/image/ab67616d0000b273b39f685cb46d3f597f6c5042
